"|","|__browDownLeft","|__browDownRight","|__browInnerUp","|__browOuterUpLeft","|__eyeBlinkLeft","|__eyeBlinkRight","|__browOuterUpRight","|__eyeLookDownLeft","|__eyeLookDownRight","|__eyeLookInLeft","|__eyeLookOutRight","|__eyeLookInRight","|__eyeLookOutLeft","|__eyeLookUpLeft","|__eyeLookUpRight","|__eyeSquintLeft","|__eyeSquintRight","|__mouthDimpleRight","|__mouthPressRight","|__mouthPressLeft","|__mouthSmileLeft","|__mouthStretchLeft","|__mouthStretchRight","|__mouthSmileRight","|__mouthPucker","|__mouthRollUpper","|__mouthShrugLower"
"img668.jpg","","","0.4883353114128113","0.6788014769554138","","","0.588098406791687","0.2820332646369934","0.2668881118297577","","","","","","","0.2619900405406952","0.16479767858982086","","","","","","","","0.19027529656887054","","0.2096569836139679"
"img9.jpg","","","0.13504691421985626","0.1450391262769699","","","0.14344008266925812","0.11090493202209473","0.1630563586950302","","","0.166952982544899","","","","0.46325021982192993","0.3084879219532013","","","","","","","","","",""
"img73.jpg","","","0.31190839409828186","0.11231148988008499","0.22076955437660217","0.13711698353290558","","0.17522458732128143","0.1516711562871933","0.22092871367931366","0.21027888357639313","","","","","0.39771127700805664","0.48746612668037415","","","","","","","","","",""
"img8_1.jpg","","","0.5136629343032837","0.21289074420928955","0.18755073845386505","0.18540242314338684","0.12649475038051605","0.12000957876443863","0.10550839453935623","","","0.1957349330186844","0.1899784952402115","0.11403923481702805","0.11711589992046356","0.5334919691085815","0.5048928260803223","","","0.13437631726264954","0.2487504929304123","","","0.22349680960178375","","",""
"img1882.jpg","","","","","0.6207489967346191","0.6226205229759216","","0.521115779876709","0.4909588396549225","","","","","","","0.7652118802070618","0.6814601421356201","","","","","","","","0.6604393720626831","",""
"img1956.jpg","","","0.5032063722610474","0.61334228515625","0.4660172462463379","0.42748790979385376","0.29649850726127625","0.2982129156589508","0.28605690598487854","","","0.14444701373577118","0.13498647511005402","","","0.7027601599693298","0.4737677276134491","","","","","","","","0.9066851139068604","",""
"img140.jpg","","","","0.3865810036659241","0.14237569272518158","0.19773581624031067","0.19150523841381073","0.12082690000534058","0.16128066182136536","0.19973783195018768","0.1270018368959427","","","0.10695204883813858","","0.5475215911865234","0.41907915472984314","","0.15740153193473816","","","","","","","",""
"img1571.jpg","","","","0.3846481144428253","0.23619665205478668","0.4108937084674835","0.15980122983455658","0.3480750024318695","0.30245643854141235","0.11363261938095093","0.1139640361070633","","","","","0.5736856460571289","0.4871884286403656","","0.1717962920665741","","","","","","","",""
"img1023.jpg","","0.13500916957855225","","","0.28674858808517456","0.4015764892101288","","0.24689233303070068","0.24358800053596497","","","0.11983063817024231","0.11542172729969025","","","0.6040003299713135","0.3308908939361572","0.30626240372657776","0.1488059014081955","","","","","","","",""
"img86.jpg","","","0.2374144345521927","0.10502560436725616","0.13016538321971893","0.10939354449510574","","0.17877152562141418","0.17802998423576355","0.2342461794614792","0.19524939358234406","","","","","0.48152464628219604","0.42400607466697693","","0.11361779272556305","","","","","","","",""
